TRANSACTION_ID,TRANSACTION_DATE,TRANSACTION_AMOUNT,CATEGORY,STATUS,SENDER_ID,RECEIVER_ID,RISK_SCORE,PAYMENT_NODE
d03b334c-454b-4170-9f6c-60e316f20821,2023-11-01,0.15,Groceries,Reversed,1493217,1992989,5,PAY_GB_01
8c757a09-a3aa-470b-91bb-bd65337492e9,2023-11-11,0.19,Housing,Failed,1935996,1008324,6,PAY_IT_02
09ef59f0-ae15-46aa-954a-4c19c3e96a41,2023-11-10,0.49,Debt Repayment,Pending,1812249,1493911,1,PAY_GB_01
79519767-0629-49a1-8bb7-1f48f457a48a,2023-11-10,0.13,Housing,Completed,1483273,1197259,5,PAY_IT_02
d72fc61e-5d3f-4dcb-beee-92ea0041a78c,2023-11-12,0.86,Groceries,Refunded,1923569,1546720,9,PAY_IT_02
9f658528-711f-422d-97b8-336b405f5009,2023-11-05,0.42,Entertainment,Failed,1756068,1862634,5,PAY_IT_02
cbdc4cc0-6d74-40f1-aefa-17ad67d8c2af,2023-10-30,0.45,Housing,Refunded,1703091,1774825,1,PAY_GB_01
a3b43531-d7f8-40a0-97ab-166274f1e253,2023-11-10,0.59,Transportation,Refunded,1683669,1549240,10,PAY_IT_02
8bbf9b17-a2ff-4fd9-bb92-894dc849c3be,2023-11-01,0.8,Clothing,Cancelled,1833259,1810784,3,PAY_IT_02
15095bce-fc53-4b42-b8d8-135140cd7da1,2023-11-05,0.54,Entertainment,Pending,1507620,1587966,1,PAY_GB_01
b01f3d61-cd77-411a-a639-c9bfed861d5a,2023-11-08,0.72,Utilities,Cancelled,1871802,1477753,4,PAY_NL_03
cfa97c76-fd04-4bc7-a106-2d37c0e71b88,2023-11-08,0.54,Housing,Completed,1103539,1331914,7,PAY_GB_01
836168e0-3b28-494f-ab07-15f0dc8624c0,2023-11-12,0.31,Utilities,Authorized,1011709,1087216,6,PAY_NL_03
e1f0f3d1-bcb6-429b-aa08-4ba2c0ee7df4,2023-11-12,0.73,Healthcare,Refunded,1121860,1258302,6,PAY_IT_02
76e84979-b061-4c98-a762-bc407e7e179a,2023-10-30,0.61,Education,Completed,1163834,1308724,1,PAY_NL_03
41aa8a5b-c91f-47e9-b5a8-8945c8f85b35,2023-11-10,0.71,Clothing,Completed,1999205,1869973,2,PAY_GB_01
f0195da7-8153-4cae-9db9-b839a97e130a,2023-11-12,0.55,Transportation,Processing,1128259,1844140,8,PAY_IT_02
8e582f57-8bbc-4e54-ba8a-a4e31e192f52,2023-11-13,0.31,Healthcare,Reversed,1996819,1363259,5,PAY_IT_02
57375b96-7e06-448a-938b-05484dee04e5,2023-11-10,0.35,Savings,Cancelled,1988752,1134724,9,PAY_NL_03
c45a0030-33f9-4bea-a9e5-3f74a3248398,2023-11-05,0.05,Healthcare,Refunded,1157599,1617103,1,PAY_NL_03
2a528e0d-4a13-422a-99ff-4681948316b2,2023-11-10,0.58,Entertainment,Completed,1212256,1526432,9,PAY_IT_02
f7b139b3-a5e8-41c4-a942-c2e5e802749d,2023-11-02,0.31,Utilities,Failed,1059017,1895666,10,PAY_NL_03
e7ee8aa2-48fd-4381-b0f5-d8eec8622d98,2023-11-04,0.6,Transportation,Processing,1029012,1204473,9,PAY_IT_02
37ec36a9-1b51-40d5-8a78-633dccdf1788,2023-11-13,0.58,Groceries,Cancelled,1538536,1528864,10,PAY_GB_01
09ada56c-2ca2-49e0-b9a4-9595d1661775,2023-11-12,0.48,Utilities,Pending,1555086,1650454,5,PAY_NL_03
7fe17012-74a1-47e9-89b5-e1e467db0c9d,2023-11-04,0.11,Entertainment,Authorized,1067668,1464609,6,PAY_GB_01
73d5a93a-0fa5-4680-96c8-b0609dcb9808,2023-11-06,0.1,Clothing,Completed,1954755,1576414,7,PAY_GB_01
04bc2977-e59c-4e0d-b165-0d820cee2759,2023-11-11,0.91,Transportation,Processing,1552775,1603718,4,PAY_GB_01
ed9a0cec-7ba4-49db-85f0-dfd63931a9b6,2023-10-31,0.78,Utilities,Authorized,1634962,1709303,10,PAY_GB_01
0e77fd39-fd13-4758-8eb8-24854fb4ebd4,2023-11-02,0.93,Transportation,Processing,1564409,1078213,7,PAY_NL_03
6b40fe46-c67e-47a5-ba3f-66ac5faa7fe2,2023-11-10,0.18,Savings,Reversed,1134599,1334644,4,PAY_GB_01
5c81e31a-189c-4e7a-8080-49352f3cde4e,2023-10-30,0.58,Savings,Cancelled,1389979,1289664,2,PAY_NL_03
f6e84aaf-a32f-4ca8-b404-b772036065bd,2023-11-01,0.6,Transportation,Cancelled,1476387,1034982,6,PAY_NL_03
92a9f431-15df-43ba-8cd4-c04460e8d0a4,2023-10-30,0.77,Groceries,Refunded,1897534,1224545,6,PAY_NL_03
8f842071-d2d3-4f21-8292-7f3c0e5f8ebf,2023-11-06,0.19,Groceries,Processing,1594244,1270410,8,PAY_NL_03
df37fd8c-4cc6-4b4f-9334-6e5870da7b2b,2023-11-09,0.59,Healthcare,Failed,1018917,1898458,3,PAY_GB_01
ef0e484a-bd02-417c-95ed-c620401a0e6f,2023-11-10,0.03,Entertainment,Cancelled,1324014,1143125,9,PAY_NL_03
de0a762f-25e5-4d5d-93cc-4c339fb1b0a5,2023-11-02,0.81,Savings,Processing,1187008,1777944,3,PAY_GB_01
a6202559-ed21-4336-81b8-0a375baa80a3,2023-11-11,0.58,Entertainment,Processing,1649434,1442993,4,PAY_NL_03
e3f41e70-4162-4d32-a2e0-087e931f14c6,2023-11-13,0.28,Clothing,Pending,1304465,1845223,8,PAY_NL_03
5832d1e8-0248-4bc0-abab-74e8db014733,2023-11-02,0.21,Healthcare,Reversed,1239967,1316971,7,PAY_IT_02
867c3ec6-4244-4423-980f-732168e212ca,2023-11-13,0.41,Housing,Refunded,1864455,1259055,9,PAY_GB_01
c4e8fe58-0543-4f08-88f9-19ec815b2a57,2023-11-04,0.73,Utilities,Authorized,1410349,1941082,2,PAY_IT_02
54956bf6-7340-4637-8c63-95dc160bfa92,2023-10-31,0.66,Clothing,Authorized,1984320,1432595,1,PAY_IT_02
e7d0991c-a7e1-419d-8a75-b5d0927b4245,2023-11-03,0.38,Housing,Completed,1033995,1780257,1,PAY_GB_01
4e171e1b-6ad7-427a-abe7-fb42cc3a11d1,2023-11-06,0.31,Groceries,Pending,1128048,1796575,2,PAY_GB_01
a4a1b89e-270c-430f-bf2f-f44ce80b39bd,2023-10-31,0.64,Groceries,Pending,1480579,1369408,2,PAY_GB_01
b3b1bcc4-6ee2-4cbe-b472-7cdd75f0c451,2023-11-01,0.68,Groceries,Authorized,1761778,1832222,3,PAY_IT_02
04780d5a-62bc-42b7-ad5d-83ba590b7b05,2023-11-05,0.48,Education,Refunded,1414362,1436783,4,PAY_GB_01
8100ffb3-d62b-4da2-997d-f6585d0d4be9,2023-11-11,0.88,Groceries,Pending,1046562,1732166,4,PAY_IT_02
0fa233c8-64c0-40f1-8c2c-84b418e4aea2,2023-11-09,0.51,Housing,Cancelled,1801126,1982650,10,PAY_GB_01
f9edcf0f-deca-4162-9e97-03515be2b4d4,2023-11-12,0.96,Clothing,Processing,1388295,1650391,8,PAY_NL_03
224bfd7b-344a-4904-9c66-05a851d2c970,2023-11-04,0.97,Groceries,Pending,1246125,1956108,10,PAY_NL_03
f8e183b1-c0e7-45ec-93ae-1f2bc7ebffca,2023-11-12,0.48,Utilities,Cancelled,1292748,1414685,3,PAY_IT_02
245653ef-eea4-423b-aeb5-0f2ef0dbf29e,2023-11-09,0.73,Clothing,Processing,1290846,1209049,3,PAY_NL_03
2f9cd3c7-ff1a-4161-9f2a-5b1de8085731,2023-11-05,0.75,Transportation,Pending,1910320,1885493,7,PAY_NL_03
741bf585-41a1-4f92-b3bb-bac7b68c9811,2023-11-11,0.22,Housing,Failed,1658224,1252325,9,PAY_GB_01
8578de3d-4fa4-4678-92b6-093dc1160311,2023-11-08,0.78,Savings,Completed,1854122,1941592,8,PAY_IT_02
25be9c81-ff2e-4a97-8868-569f0b5d1fda,2023-11-13,0.41,Entertainment,Reversed,1470806,1756477,7,PAY_IT_02
